time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/policy_loss,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
4432000,55400,870,5093,-0.14576506614685059,80.93,0.0007,55399,1.3090362548828125,654.16,0.7584569752216339,-0.44548606872558594,,
4440000,55500,870,5102,0.0586174800992012,83.25,0.0007,55499,0.40786051750183105,668.3,0.9490983374416828,-0.3232780396938324,,
4448000,55600,870,5110,-0.05621957406401634,81.97,0.0007,55599,0.05834035202860832,668.4,0.991375682875514,-0.38523998856544495,,
4456000,55700,870,5118,0.038395754992961884,80.32,0.0007,55699,0.43065759539604187,670.61,0.8311344236135483,-0.18291285634040833,,
4464000,55800,870,5127,0.0010576561326161027,79.24,0.0007,55799,0.44530031085014343,677.98,0.9209688827395439,-0.3730025291442871,,
4472000,55900,870,5135,-0.0043210312724113464,79.41,0.0007,55899,3.307096481323242,667.84,0.3592544198036194,-0.25354644656181335,,
4480000,,,,0.024983657523989677,,0.0007,55999,0.0879882201552391,,0.9857721775770187,-0.1511770337820053,91.8,1598.6
4480000,56000,867,5163,,81.32,,,,684.41,,,,
4488000,56100,867,5172,-0.026121461763978004,81.64,0.0007,56099,0.721380352973938,771.35,0.8809168636798859,-0.29306939244270325,,
4496000,56200,867,5180,0.010084838606417179,81.36,0.0007,56199,0.10588213056325912,786.2,0.9744998067617416,-0.33473631739616394,,
4504000,56300,868,5188,-0.06939483433961868,80.39,0.0007,56299,0.36715951561927795,786.76,0.9393355958163738,-0.3053712546825409,,
4512000,56400,868,5197,-0.03611611947417259,79.78,0.0007,56399,0.0724182277917862,791.75,0.9584930390119553,-0.40260496735572815,,
4520000,56500,868,5205,0.08720787614583969,78.76,0.0007,56499,0.13819272816181183,804.16,0.950677040964365,-0.22064678370952606,,
4528000,56600,868,5213,0.09245457500219345,81.22,0.0007,56599,0.9087473750114441,809.53,0.7121817469596863,-0.1912180632352829,,
4536000,56700,868,5222,0.12868961691856384,79.98,0.0007,56699,0.8830491900444031,794.56,0.899521954357624,-0.5275251269340515,,
4544000,56800,868,5230,0.00719940522685647,78.78,0.0007,56799,0.08015420287847519,773.31,0.9797485768795013,-0.28635498881340027,,
4552000,56900,868,5239,-0.027099108323454857,78.69,0.0007,56899,0.09243741631507874,686.76,0.9746888373047113,-0.4341981112957001,,
4560000,57000,868,5247,-0.11315895617008209,78.44,0.0007,56999,0.24939723312854767,664.52,0.9458337835967541,-0.28407561779022217,,
4568000,57100,869,5255,-0.028784876689314842,77.77,0.0007,57099,0.6123403906822205,654.45,0.8952035829424858,-0.22974590957164764,,
4576000,57200,869,5264,-0.025755543261766434,80.08,0.0007,57199,0.49828264117240906,641.05,0.9102857112884521,-0.5468904972076416,,
4584000,57300,869,5272,0.013520672917366028,78.78,0.0007,57299,0.3058711290359497,637.58,0.9413527920842171,-0.41332682967185974,,
4592000,57400,869,5280,0.057975150644779205,78.29,0.0007,57399,0.1631014198064804,643.69,0.976304167881608,-0.37836217880249023,,
4600000,57500,869,5289,-0.008334564045071602,80.43,0.0007,57499,0.182412788271904,647.09,0.9580341689288616,-0.4886654019355774,,
4608000,57600,869,5297,0.04365720599889755,81.39,0.0007,57599,0.06637231260538101,659.26,0.9846059298142791,-0.34799832105636597,,
4616000,57700,869,5305,0.015580563805997372,80.95,0.0007,57699,0.030992541462183,670.26,0.9919040463864803,-0.5487489104270935,,
4624000,57800,870,5314,-0.002152026863768697,81.31,0.0007,57799,0.07757598906755447,681.18,0.9862580522894859,-0.2218167632818222,,
4632000,57900,870,5322,0.0138993626460433,82.55,0.0007,57899,0.03822244703769684,689.25,0.9922930300235748,-0.5819162726402283,,
4640000,,,,0.10793554782867432,,0.0007,57999,0.2563658356666565,,0.9472666867077351,-0.5122023820877075,110.2,787.4
4640000,58000,868,5341,,82.64,,,,677.91,,,,
4648000,58100,868,5349,-0.010914178565144539,82.4,0.0007,58099,0.08908195048570633,673.93,0.9631755314767361,-0.36682018637657166,,
4656000,58200,869,5357,-0.08952299505472183,83.44,0.0007,58199,0.49019351601600647,681.58,0.8822697773575783,-0.33590906858444214,,
4664000,58300,869,5366,0.08193191140890121,80.69,0.0007,58299,0.7098551392555237,679.35,0.8542102724313736,-0.27599450945854187,,
4672000,58400,869,5375,-0.08577495813369751,79.63,0.0007,58399,0.12883710861206055,671.72,0.943287655711174,-0.3377537727355957,,
4680000,58500,869,5383,0.1831471174955368,80.74,0.0007,58499,0.3469717502593994,638.52,0.9308102503418922,-0.2778041362762451,,
4688000,58600,869,5392,-0.03764135763049126,82.21,0.0007,58599,0.20015685260295868,628.88,0.9521322622895241,-0.05549867823719978,,
4696000,58700,869,5402,-0.041863806545734406,82.14,0.0007,58699,0.12655147910118103,623.33,0.9711546264588833,-0.39969170093536377,,
4704000,58800,869,5410,-0.05149353668093681,84.82,0.0007,58799,0.21187423169612885,632.71,0.9513153694570065,-0.3147900104522705,,
4712000,58900,869,5419,0.007227689027786255,85.31,0.0007,58899,0.3896317183971405,626.89,0.8729556351900101,-0.3105393350124359,,
4720000,59000,869,5427,0.09260684251785278,86.42,0.0007,58999,1.5924416780471802,629.79,0.7134363651275635,-0.24154339730739594,,
4728000,59100,869,5436,-0.00636330246925354,86.88,0.0007,59099,0.06403248757123947,636.33,0.98052685149014,-0.1651506870985031,,
4736000,59200,869,5444,0.0642237588763237,87.08,0.0007,59199,0.2832772433757782,642.37,0.9272311329841614,-0.17077317833900452,,
4744000,59300,869,5453,0.037835586816072464,87.29,0.0007,59299,0.10925392061471939,686.49,0.9763310290873051,-0.2912655472755432,,
4752000,59400,870,5461,0.05662824586033821,86.09,0.0007,59399,0.1787468045949936,687.99,0.9329521134495735,-0.29839107394218445,,
4760000,59500,870,5470,-0.0046145860105752945,85.96,0.0007,59499,0.06883015483617783,700.98,0.9839559458196163,-0.34453365206718445,,
4768000,59600,870,5479,-0.012227059341967106,86.34,0.0007,59599,0.09861651062965393,690.5,0.954172171652317,-0.24830110371112823,,
4776000,59700,870,5487,0.026179898530244827,85.14,0.0007,59699,0.1417931616306305,706.99,0.9782625660300255,-0.11359573900699615,,
