time/time_elapsed,rollout/exploration_rate,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/loss
4648,0.05,1771300,39672,381,33.79,912.27,,,107581,0.0001,0.21876220405101776
4648,0.05,1771500,39676,381,33.85,913.33,,,107593,0.0001,0.05950665473937988
4648,0.05,1771676,39680,381,33.85,913.33,,,107604,0.0001,0.4567797780036926
4649,0.05,1771928,39684,381,33.85,913.33,,,107620,0.0001,0.05324194207787514
4650,0.05,1772100,39688,381,33.97,910.43,,,107631,0.0001,0.1107587218284607
4650,0.05,1772356,39692,381,33.97,910.43,,,107647,0.0001,0.6667495965957642
4650,0.05,1772468,39696,381,34.12,910.21,,,107654,0.0001,0.19162538647651672
4651,0.05,1772636,39700,381,34.12,910.21,,,107664,0.0001,0.4111739993095398
4652,0.05,1772996,39704,381,34.17,903.8,,,107687,0.0001,0.07604048401117325
4652,0.05,1773200,39708,381,34.24,906.16,,,107699,0.0001,0.044273339211940765
4653,0.05,1773480,39712,381,34.24,906.16,,,107717,0.0001,0.24390661716461182
4653,0.05,1773660,39716,381,34.24,906.16,,,107728,0.0001,0.3058446943759918
4654,0.05,1773916,39720,381,34.22,905.15,,,107744,0.0001,0.0603514090180397
4655,0.05,1774136,39724,381,34.26,904.88,,,107758,0.0001,0.05864312872290611
4655,0.05,1774316,39728,381,34.26,904.88,,,107769,0.0001,0.3060377836227417
4656,0.05,1774556,39732,381,34.26,904.88,,,107784,0.0001,0.14933250844478607
4656,0.05,1774800,39736,381,34.32,901.2,,,107799,0.0001,0.16287119686603546
4657,0.05,1775068,39740,381,34.31,899.45,,,107816,0.0001,0.03837882727384567
4657,0.05,1775248,39744,381,34.31,899.45,,,107827,0.0001,0.1722414344549179
4658,0.05,1775388,39748,381,34.31,899.45,,,107836,0.0001,0.22253063321113586
4659,0.05,1775760,39752,381,34.36,896.37,,,107859,0.0001,0.0772993266582489
