rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_range,train/loss,train/clip_fraction,train/entropy_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
1246.98,4054,103.32,1130496,138,278,1370,-0.04416836599339149,0.7913132756948471,0.18258113,0.0003,0.2,0.024054884910583496,0.3362060546875,-0.47686243827920405,1.1218581037712283,,
1274.78,4083,108.83,1138688,139,278,1380,-0.04302838336807326,0.8223214894533157,0.18024635,0.0003,0.2,0.10793963074684143,0.3307861328125,-0.45956039847806096,0.9670800436404534,,
1278.13,4111,114.43,1146880,140,278,1390,-0.04283212243681191,0.8398730754852295,0.19221203,0.0003,0.2,0.022075720131397247,0.33306884765625,-0.45991120708640665,0.8583405611221678,,
1267.3,4139,111.57,1155072,141,279,1400,-0.041520471689727854,0.8005962520837784,0.18390006,0.0003,0.2,0.12113694846630096,0.34197998046875,-0.45051059757824985,1.0290739891002887,,
,,,1160000,,,1410,-0.04337985616439255,0.7731284201145172,0.19512282,0.0003,0.2,0.20277270674705505,0.3568359375,-0.4750329228816554,1.056300376402214,1465.8,129.4
1240.4,4175,108.96,1163264,142,278,,,,,,,,,,,,
1237.51,4205,102.89,1171456,143,278,1420,-0.03714211871047155,0.7535077035427094,0.15936823,0.0003,0.2,0.2518123984336853,0.3183837890625,-0.44144854610785844,1.2145766403642484,,
1244.68,4232,100.27,1179648,144,278,1430,-0.04406756026073708,0.7535819858312607,0.1840681,0.0003,0.2,0.4039493203163147,0.34189453125,-0.46786869182251395,1.2376396906212903,,
1241.88,4261,101.06,1187840,145,278,1440,-0.04250760945942602,0.7781084030866623,0.1799311,0.0003,0.2,0.17121902108192444,0.36082763671875,-0.47406358213629574,0.9394994985545054,,
1237.89,4290,99.56,1196032,146,278,1450,-0.04810866291591083,0.8479293286800385,0.19693926,0.0003,0.2,0.13071472942829132,0.36363525390625,-0.4699366605374962,0.7504608521412592,,
